text,label
"Your application has been received and is under review.",0
"Interview scheduled for next Wednesday at 10am. Please bring your resume.",0
"Congratulations on your promotion! HR will contact you with details.",0
"Your timesheet has been approved. Payment will be processed Friday.",0
"New policy document available. Please review and acknowledge by end of week.",0
"Training session scheduled for next month. Registration link attached.",0
"Your warranty registration is complete. Keep this email for your records.",0
"Survey: How was your recent experience? We'd love your feedback.",0
"Your subscription has been successfully canceled. No further charges will occur.",0
"Account statement for March is now available. View in your online portal.",0
"Your request has been processed. Reference number: REF-2024-001.",0
"Software update available. Install at your convenience.",0
"Your comment has been posted. You'll receive notifications of replies.",0
"Event reminder: Conference starts tomorrow at 9am. See you there!",0
"Your download is complete. File saved to your downloads folder.",0
"Backup completed successfully. Last backup: March 15, 2024.",0
"Your profile has been updated. Changes are now visible.",0
"New message from your doctor. Login to patient portal to view.",0
"Prescription refill approved. Ready for pickup in 2 hours.",0
"Lab results are available. Review them in your health portal.",0
"Appointment reminder: Annual checkup next week.",0
"Your insurance claim has been processed. Details in attached document.",0
"Vaccination record updated. Download your certificate anytime.",0
"Referral to specialist approved. They will contact you to schedule.",0
"Your test results are normal. No follow-up needed at this time.",0
"Medication reminder: Take your prescription with food.",0
"Telehealth appointment confirmed for tomorrow at 11am.",0
"Your fitness goal progress: 75% complete. Keep it up!",0
"Weekly summary: You walked 45,000 steps this week.",0
"New recipe added to your favorites. Try it this weekend!",0
"Your grocery order is being prepared. Pickup available after 4pm.",0
"Delivery scheduled for tomorrow between 2pm-5pm.",0
"Your return has been processed. Refund will appear in 3-5 days.",0
"Product review request: How do you like your recent purchase?",0
"Price drop alert: Item in your wishlist is now on sale.",0
"Your loyalty points balance: 2,450 points available.",0
"New items added to your recommended list based on browsing history.",0
"Your saved cart is still available. Complete your purchase anytime.",0
"Shipping confirmation: Your order is on the way.",0
"Your review has been published. Thank you for sharing your experience.",0
"Product back in stock: Item you wanted is now available.",0
"Your question has been answered by our community. View response.",0
"Order modification confirmed. Updated delivery date: March 20.",0
"Your gift card balance: $50.00 remaining.",0
"Subscription upgraded successfully. New features now available.",0
"Your playlist has been updated with new recommendations.",0
"Photo upload complete. Album is ready to share.",0
"Your video has been published. View it on your channel.",0
"New follower: Someone started following your account.",0
"Your post received 50 likes. See who engaged with your content.",0
"Comment on your photo: Check out what people are saying.",0
"Your story has expired. Create a new one to stay connected.",0
"Friend suggestion: People you may know based on mutual connections.",0
"Your privacy settings have been updated as requested.",0
"Account security: Two-factor authentication is now enabled.",0
"Login from new device detected. This was you, right?",0
"Your data download is ready. File will be available for 7 days.",0
